Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
ESC_H31_00h_rep1_pass_1	22.356870567	50.0	42163020.0	16.6666666667	40.0
ESC_H31_00h_rep1_pass_2	22.1803462151	50.0	42163020.0	16.6666666667	40.0
ESC_H31_00h_rep2_pass_1	18.9158281977	51.0	39530181.0	25.0	41.0
ESC_H31_00h_rep2_pass_2	18.635240294	51.0	39530181.0	33.3333333333	42.0
ESC_H31_03h_rep1_pass_1	23.5980277837	50.0	52566203.0	16.6666666667	39.0
ESC_H31_03h_rep1_pass_2	23.3630393554	50.0	52566203.0	16.6666666667	39.0
ESC_H31_03h_rep2_pass_1	21.1962516798	51.0	52489757.0	25.0	41.0
ESC_H31_03h_rep2_pass_2	20.7991333461	51.0	52489757.0	33.3333333333	41.0
ESC_H31_06h_rep1_pass_1	23.1465722195	50.0	55516280.0	16.6666666667	40.0
ESC_H31_06h_rep1_pass_2	22.8008376317	50.0	55516280.0	16.6666666667	40.0
ESC_H31_06h_rep2_pass_1	24.3434668423	51.0	51678594.0	16.6666666667	41.0
ESC_H31_06h_rep2_pass_2	23.6928682607	51.0	51678594.0	33.3333333333	41.0
ESC_H31_12h_rep1_pass_1	21.1627604952	50.0	44514388.0	16.6666666667	40.0
ESC_H31_12h_rep1_pass_2	20.7383635003	50.0	44514388.0	16.6666666667	40.0
ESC_H31_12h_rep2_pass_1	30.4825811285	51.0	46873342.0	16.6666666667	40.0
ESC_H31_12h_rep2_pass_2	29.2426968525	51.0	46873342.0	33.3333333333	40.0
ESC_H31_inp_rep1_pass_1	14.3914335951	50.0	49974374.0	25.0	41.0
ESC_H31_inp_rep1_pass_2	14.4184824948	50.0	49974374.0	16.6666666667	42.0
ESC_H31_inp_rep2_pass_1	14.2631362408	51.0	50337181.0	16.6666666667	41.0
ESC_H31_inp_rep2_pass_2	14.029366506	51.0	50337181.0	16.6666666667	41.0
ESC_H33_00h_rep1_pass_1	17.2158825855	50.0	59134549.0	18.1818181818	43.0
ESC_H33_00h_rep1_pass_2	16.9587345156	50.0	59134549.0	18.1818181818	43.0
ESC_H33_00h_rep2_pass_1	15.4850811251	51.0	35948442.0	18.1818181818	41.0
ESC_H33_00h_rep2_pass_2	15.1965489405	51.0	35948442.0	18.1818181818	41.0
ESC_H33_00h_rep3_pass_1	15.2352546845	51.0	53954044.0	18.1818181818	43.0
ESC_H33_00h_rep3_pass_2	15.3793145903	51.0	53954044.0	18.1818181818	43.0
ESC_H33_03h_rep1_pass_1	15.7532168498	50.0	39699169.0	18.1818181818	43.0
ESC_H33_03h_rep1_pass_2	15.4257456005	50.0	39699169.0	18.1818181818	43.0
ESC_H33_03h_rep2_pass_1	17.9207825678	51.0	54306691.0	18.1818181818	41.0
ESC_H33_03h_rep2_pass_2	17.6139887672	51.0	54306691.0	18.1818181818	41.0
ESC_H33_03h_rep3_pass_1	17.1434040754	51.0	61819000.0	18.1818181818	43.0
